"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","pack","used"
4,5,5,3,3,5,1766.14622222224,427.396182522456,"Red Deer",1
4,4,4,1,3,4,1788.78000000006,360.504295775846,"Red Deer",1
4,5,5,4,1,5,1765.10044444455,283.66480121006,"Red Deer",1
4,5,5,4,1,5,1742.91333333315,167.413440466858,"Red Deer",1
,,,,,,1987.39377777732,27.9095144816908,"Red Deer",1
1,1,1,1,4,1,1778.35999999982,622.625727725299,"Red Deer",1
4,5,5,4,1,5,1764.31333333333,373.210079684386,"Red Deer",1
4,5,5,4,1,5,1764.31333333333,373.210079684386,"Red Deer",1
4,5,5,3,1,5,1716.67955555551,248.099093583832,"Red Deer",1
3,5,4,1,3,4,1709.14622222224,316.923707887493,"Red Deer",1
3,5,4,1,3,4,1709.14622222224,316.923707887493,"Red Deer",1
5,3,6,1,5,6,1826.98711111084,527.688856721753,"Red Deer",1
4,5,5,3,1,5,1712.53333333327,42.5865595331416,"Red Deer",1
4,4,4,3,3,4,2007.45288888903,2105.19991288342,"Red Deer",1
4,3,3,5,6,4,2225.0795555557,824.243515206515,"Red Deer",1
4,3,3,5,6,4,2225.0795555557,824.243515206515,"Red Deer",1
,,,,,,2174.19377777795,92.0839019589685,"Red Deer",1
,,,,,,2174.19377777795,92.0839019589685,"Red Deer",1
4,4,4,4,3,4,2086.33377777825,1289.25285415524,"Red Deer",1
4,4,4,4,3,4,2086.33377777825,1289.25285415524,"Red Deer",1
4,3,3,3,1,4,2007.52622222237,519.053956543144,"Red Deer",1
4,3,3,3,1,4,2007.52622222237,519.053956543144,"Red Deer",1
3,5,4,1,3,4,1708.72044444467,372.586559533142,"Red Deer",1
4,5,5,3,1,5,1714.53333333327,8.52360412042671,"Red Deer",1
4,5,5,4,1,5,1733.37999999988,315.63164440023,"Red Deer",1
4,5,5,4,1,5,1771.05955555539,370.758604878967,"Red Deer",1
,,,,,,2174.19377777795,92.0839019589685,"Red Deer",1
,,,,,,2174.19377777795,92.0839019589685,"Red Deer",1
4,4,4,4,3,4,2086.33377777825,1289.25285415524,"Red Deer",1
4,4,4,4,3,4,2086.33377777825,1289.25285415524,"Red Deer",1
4,3,3,3,1,4,2007.52622222237,519.053956543144,"Red Deer",1
4,3,3,3,1,4,2007.52622222237,519.053956543144,"Red Deer",1
3,5,4,1,1,4,1966.60044444468,132.586559533142,"Red Deer",1
4,5,5,3,3,5,1801.54044444442,94.455824447672,"Red Deer",1
3,4,4,4,4,4,2169.71288888891,1704.15054860518,"Red Deer",1
3,4,4,4,4,4,2169.71288888891,1704.15054860518,"Red Deer",1
5,3,6,1,5,6,1737.13333333308,77.4134404668584,"Red Deer",1
5,3,6,1,5,6,1737.13333333308,77.4134404668584,"Red Deer",1
5,3,6,1,5,6,1737.13333333308,77.4134404668584,"Red Deer",1
3,4,4,3,1,4,1649.77288888891,138.86828858799,"Red Deer",1
3,4,4,3,1,4,1649.77288888891,138.86828858799,"Red Deer",1
3,4,4,3,1,4,1649.77288888891,138.86828858799,"Red Deer",1
3,3,4,6,5,4,2035.59333333301,85.5284741384265,"Red Deer",1
3,3,4,6,5,4,2035.59333333301,85.5284741384265,"Red Deer",1
3,3,4,6,5,4,2035.59333333301,85.5284741384265,"Red Deer",1
3,3,4,6,5,4,2035.59333333301,85.5284741384265,"Red Deer",1
4,5,5,3,3,5,1875.31333333333,99.6840333580039,"Red Deer",1
4,5,5,3,3,5,1875.31333333333,99.6840333580039,"Red Deer",1
4,5,5,3,3,5,1875.31333333333,99.6840333580039,"Red Deer",1
4,5,5,3,1,5,1712.53333333327,42.5865595331416,"Red Deer",1
4,5,5,3,1,5,1712.53333333327,42.5865595331416,"Red Deer",1
4,5,4,1,4,4,1805.15999999968,887.413440466858,"Red Deer",1
4,5,4,1,4,4,1805.15999999968,887.413440466858,"Red Deer",1
4,5,4,1,4,4,1805.15999999968,887.413440466858,"Red Deer",1
4,4,4,4,3,4,2015.53333333327,933.255665813286,"Red Deer",1
4,4,4,4,3,4,2015.53333333327,933.255665813286,"Red Deer",1
4,4,4,4,3,4,2015.53333333327,933.255665813286,"Red Deer",1
4,4,4,4,3,4,2015.53333333327,933.255665813286,"Red Deer",1
,,,,,,1853.79288888829,12.5865595331416,"Red Deer",1
,,,,,,1853.79288888829,12.5865595331416,"Red Deer",1
,,,,,,1853.79288888829,12.5865595331416,"Red Deer",1
3,3,3,4,4,3,2035.07333333309,30.8216010761394,"Red Deer",1
3,3,3,4,4,3,2035.07333333309,30.8216010761394,"Red Deer",1
3,3,3,4,4,3,2035.07333333309,30.8216010761394,"Red Deer",1
3,4,3,3,1,3,1874.21955555507,137.413440466858,"Red Deer",1
3,4,3,3,1,3,1874.21955555507,137.413440466858,"Red Deer",1
3,4,3,3,1,3,1874.21955555507,137.413440466858,"Red Deer",1
4,4,4,3,3,4,1742.53999999982,72.5865595331416,"Red Deer",1
4,4,4,3,3,4,1742.53999999982,72.5865595331416,"Red Deer",1
,,,,,,2065.73333333383,2338.26003055495,"Red Deer",1
,,,,,,2065.73333333383,2338.26003055495,"Red Deer",1
3,5,4,1,1,4,1766.00666666654,218.134909904978,"Red Deer",1
3,5,4,1,1,4,1766.00666666654,218.134909904978,"Red Deer",1
4,4,4,4,3,4,1930.77911111127,952.666314428017,"Red Deer",1
4,4,4,4,3,4,1930.77911111127,952.666314428017,"Red Deer",1
4,4,4,4,3,4,1930.77911111127,952.666314428017,"Red Deer",1
4,4,4,4,3,4,1930.77911111127,952.666314428017,"Red Deer",1
,,,,,,1700.51422222176,196.496656202724,"Red Deer",1
,,,,,,1700.51422222176,196.496656202724,"Red Deer",1
,,,,,,1700.51422222176,196.496656202724,"Red Deer",1
4,3,3,3,1,4,2220.23333333277,1428.69927274045,"Red Deer",1
4,5,4,3,1,4,1569.81333333321,481.335352954746,"Red Deer",1
4,5,4,3,1,4,1569.81333333321,481.335352954746,"Red Deer",1
4,5,4,3,1,4,1601.97333333315,296.481457059352,"Red Deer",1
4,5,4,3,1,4,1601.97333333315,296.481457059352,"Red Deer",1
4,5,4,3,1,4,1601.97333333315,296.481457059352,"Red Deer",1
4,5,4,3,1,4,1609.21999999994,998.058075756515,"Red Deer",1
4,5,4,3,1,4,1609.21999999994,998.058075756515,"Red Deer",1
4,5,5,4,1,5,1567.67955555551,567.882234263288,"Red Deer",1
4,5,5,4,1,5,1567.67955555551,567.882234263288,"Red Deer",1
3,3,3,4,4,3,2132.62666666667,201.257981006487,"Red Deer",1
3,3,3,4,4,3,2132.62666666667,201.257981006487,"Red Deer",1
3,3,3,4,4,3,2132.62666666667,201.257981006487,"Red Deer",1
5,5,5,3,1,5,1402,293.795447834937,"Bow Valley",1
4,4,5,3,1,5,1496.9066666666,464.867866499668,"Bow Valley",1
5,3,5,1,1,5,1402,131.873975435212,"Bow Valley",1
5,5,5,3,1,5,1402,514.322880740644,"Bow Valley",1
4,5,4,3,1,4,1586.05288888885,5.6210779452891,"Bow Valley",1
5,5,5,3,1,5,1402,275.778217516296,"Bow Valley",1
4,4,4,1,3,4,1433.16711111109,227.413440466858,"Bow Valley",1
5,5,5,3,1,5,1402,625.283644602771,"Bow Valley",1
5,3,5,1,1,5,1403.75333333321,8.52360412042671,"Bow Valley",1
6,3,4,1,1,5,1405.06666666654,20.3159666419961,"Bow Valley",1
5,5,5,3,1,5,1402,470.365003345631,"Bow Valley",1
5,5,5,3,1,5,1402,300.967086138911,"Bow Valley",1
5,5,5,3,1,5,1427.53333333327,409.31976382708,"Bow Valley",1
4,4,4,1,3,4,1476,109.228560773834,"Bow Valley",1
5,5,5,3,1,5,1405.37333333333,128.224644428293,"Bow Valley",1
5,5,5,3,1,5,1402,233.612856153105,"Bow Valley",1
5,4,5,4,3,5,1530.69333333295,609.993672702053,"Bow Valley",1
6,1,6,5,1,6,1433.43288888872,19.8905687136943,"Bow Valley",1
4,4,4,1,1,5,1403.14622222224,126.106098409606,"Bow Valley",1
4,5,4,3,1,4,1486.31999999962,84.1720542984952,"Bow Valley",1
3,5,4,1,3,4,1433,100.01950744765,"Bow Valley",1
6,3,6,1,3,6,1503.37999999962,549.684967545795,"Bow Valley",1
4,4,4,1,1,4,1433,192.586559533142,"Bow Valley",1
6,3,6,1,3,6,1498.75333333295,500.497089786666,"Bow Valley",1
5,5,5,3,1,5,1402,668.351367545717,"Bow Valley",1
6,3,4,1,1,5,1458.38711111103,197.413440466858,"Bow Valley",1
6,4,6,1,3,6,1403.21999999994,88.14701541725,"Bow Valley",1
4,3,4,5,5,4,1948.6271111106,1058.43334041239,"Bow Valley",1
4,4,4,4,3,4,1497.28666666648,39.6840333580039,"Bow Valley",1
5,5,5,3,1,5,1402,397.109460792707,"Bow Valley",1
5,5,5,3,1,5,1402,302.803156987013,"Bow Valley",1
4,4,4,1,3,4,1459.21999999994,145.709610442772,"Bow Valley",1
5,5,5,3,1,5,1432.68666666667,132.374148103151,"Bow Valley",1
6,3,4,1,1,5,1436.05288888885,17.4134404668584,"Bow Valley",1
6,3,6,1,3,6,1546.45244444417,632.423707450459,"Bow Valley",1
5,5,5,3,1,5,1420.36622222218,259.521356869637,"Bow Valley",1
6,1,6,5,1,6,1409.67955555551,9.68403335800394,"Bow Valley",1
6,3,4,1,1,5,1423.28666666648,200.802881416321,"Bow Valley",1
4,4,4,1,1,5,1402.78000000006,84.1720542984952,"Bow Valley",1
6,3,4,1,1,5,1415.31333333333,154.859902936087,"Bow Valley",1
5,5,4,4,3,5,1402,285.374368070364,"Bow Valley",1
4,5,4,3,1,4,1448.31999999988,377.413440466859,"Bow Valley",1
3,5,4,1,3,4,1433,168.28096696933,"Bow Valley",1
4,4,4,1,1,4,1440,280.640437269106,"Bow Valley",1
5,5,5,3,1,5,1426.38711111103,381.542329808949,"Bow Valley",1
5,5,5,3,1,5,1430,371.539485523417,"Bow Valley",1
6,3,4,1,1,5,1434.78000000006,341.776298860189,"Bow Valley",1
5,4,5,4,3,5,1445.59333333327,602.233262393367,"Bow Valley",1
6,3,4,1,1,5,1458.30666666586,295.296264916623,"Bow Valley",1
5,5,5,3,1,5,1420,210.593746626237,"Bow Valley",1
6,1,6,5,1,6,1423.12666666654,182.282449085238,"Bow Valley",1
3,5,4,1,3,4,1443.43999999987,27.9095144816908,"Bow Valley",1
5,5,5,3,1,5,1432,449.894335007433,"Bow Valley",1
5,4,5,4,3,5,1472.03333333314,249.684033358004,"Bow Valley",1
5,5,5,3,1,5,1419.53333333327,201.850106228637,"Bow Valley",1
6,3,4,1,1,5,1421.83377777745,216.329305451748,"Bow Valley",1
5,5,5,3,1,5,1402,364.83908144586,"Bow Valley",1
4,5,5,3,3,5,1433,42.5865595331416,"Bow Valley",1
4,4,4,1,1,4,1441,27.9095144816908,"Bow Valley",1
6,3,4,1,1,5,1445.17955555539,17.4134404668584,"Bow Valley",1
6,1,6,5,1,6,1402,162.586559533142,"Bow Valley",1
6,3,4,1,1,5,1448.13377777769,115.3625780016,"Bow Valley",1
6,3,4,1,1,5,1507.03999999969,328.769132683283,"Bow Valley",1
4,4,4,4,3,4,1538.10711111109,130.153522332459,"Bow Valley",1
5,5,5,3,1,5,1417.58622222212,207.356588559248,"Bow Valley",1
6,3,4,1,1,5,1559.70622222211,411.289444044778,"Bow Valley",1
6,3,4,1,1,5,1411.31333333333,20.3159666419961,"Bow Valley",1
5,3,5,1,1,5,1413.09288888853,8.52360412042671,"Bow Valley",1
6,3,4,1,1,5,1436.95333333284,252.932088284033,"Bow Valley",1
4,4,4,4,3,4,1506.01333333309,110.315966641996,"Bow Valley",1
6,4,6,1,3,6,1402.36622222218,23.8047225996683,"Bow Valley",1
4,5,4,3,1,4,1467.56666666667,476.979824506998,"Bow Valley",1
4,5,4,3,1,4,1473.50000000013,542.343501336152,"Bow Valley",1
5,5,5,3,1,5,1402,248.833259521545,"Bow Valley",1
6,4,6,1,3,6,1402,102.98244806327,"Bow Valley",1
4,3,4,5,5,4,1788.83288888772,1077.67564119367,"Bow Valley",1
6,1,6,5,1,6,1402,151.3415898572,"Bow Valley",1
4,5,4,3,1,4,1437.32711111103,227.413440466858,"Bow Valley",1
4,5,4,3,1,4,1439.54711111097,192.531576330876,"Bow Valley",1
4,4,4,1,1,4,1441.36622222218,12.5865595331416,"Bow Valley",1
4,4,4,1,1,4,1437,359.026659211658,"Bow Valley",1
6,1,6,5,1,6,1403.21999999994,169.009054638249,"Bow Valley",1
4,4,4,3,1,4,1458.96044444399,128.326724180298,"Bow Valley",1
6,4,6,1,3,6,1402,192.665658802464,"Bow Valley",1
5,3,5,1,1,5,1424.9066666666,320.069902221054,"Bow Valley",1
4,4,4,1,1,4,1440,320.62374658565,"Bow Valley",1
5,5,5,3,1,5,1402,380.066905509138,"Bow Valley",1
6,3,4,1,1,5,1450.06088888854,50.4233282040352,"Bow Valley",1
4,6,5,1,1,5,1402.53333333327,158.657543089597,"Bow Valley",1
4,5,4,3,1,4,1481.26044444449,610.656932590087,"Bow Valley",1
4,4,4,1,1,4,1491.53333333327,23.8047225996683,"Bow Valley",1
6,4,6,1,3,6,1402,263.51201571437,"Bow Valley",1
5,5,5,3,1,5,1402,294.699133465825,"Bow Valley",1
4,5,4,3,1,4,1585,115.164087714772,"Bow Valley",1
4,5,4,3,1,4,1583.12000000025,8.52360412042671,"Bow Valley",1
4,4,4,1,1,4,1433,235.924426142286,"Bow Valley",1
4,5,5,4,1,5,1433,84.1720542984952,"Bow Valley",1
6,3,4,1,1,5,1490.35333333302,195.791261918878,"Bow Valley",1
5,1,4,6,5,5,1736.26755555445,600.19059445165,"Bow Valley",1
6,3,4,1,1,5,1412.53333333327,53.7278320642496,"Bow Valley",1
6,3,4,1,1,5,1543.90044444399,349.953720361467,"Bow Valley",1
6,1,6,5,1,6,1402.53333333327,40.2065353556904,"Bow Valley",1
6,1,6,5,1,6,1402.53333333327,40.2065353556904,"Bow Valley",1
6,1,6,5,1,6,1402.53333333327,40.2065353556904,"Bow Valley",1
6,4,6,1,3,6,1406.53333333327,8.52360412042671,"Bow Valley",1
6,1,6,5,1,6,1407.70044444436,19.8905687136943,"Bow Valley",1
6,1,6,5,1,6,1402.84666666661,8.52360412042671,"Bow Valley",1
6,3,4,1,1,5,1525.83333333258,260.474513996247,"Bow Valley",1
